text	problematic
Yup! RT @STheMisfit Then she got AIDs and died RT @MissBl0ndee: Jenny was a bitch! #forestgump	0
@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang	0
"&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;

Nah.. His weapons just trash"	0
The bitches are back http://t.co/3fpjQJvjUh	0
A basic bitch will piss me off every single time.	0
RT @kingsleyyy: That look after you just put a bitch in their place http://t.co/GPND50I5Of	0
Don't touch no sloppy hoes, You might catch somethin..	0
@Jessycaa_Rubi @O_ShitItsLaura Bitch you just an inch taller than me &#128079;&#128079; &amp; we normal height Jessyca and Daysi are just some short bitches &#128514;	0
RT @Goldie_Brim: Smack a bitch no filter	0
Trash &#8220;@TieMyDuragBoo: Black people only play R&amp;B &amp; Hip hop at their parties..play some dubstep and House..yall coons need to expand&#8221;	0
RT @nofuks007: Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!	0
RT @RedScareBot: Commie &amp;#9773; Mints RT @_whiteponyjr_ F#@!kkk this faggot commie http://t.co/lnqNpChciA	0
"@Bitterchick 
Dat means get the fuck out hoe I be thinkin"	0
RT @DaTbOySmOkEyy: Shawty said you not gone understand america unless you went to a PWI school, crackers already brainwashed her smh lol	1
"@SicilianInHeels @y3lla lol that's basically like the ""you got too many hoes"" curve"	0
Fucking hate ghetto girls I swear bruh	0
I should start wearing beanies more	0
RT @FoodPornsx: Oreo ice cream. ~ http://t.co/thrkAobdVj	0
RT @ImSledgren: Looking thru my yearbook, I don't think I've done that since my graduation.This book got some hoe ass niggas in it I forgot&#8230;	0
emers a bitch	0
"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit."	0
RT @LVL_KY_Events: Nov 22,2012: Thanksgiving Dinner: 2:00pm: Proof on Main. A day being preoccupied with a giant bird in your... http:// ...	0
&#128073; RT @OfficiallyIce: #GuiltyPleasure watching niggers fight on YouTube/Vine/IG	0
"@DrMalvo 
I likes it back dare. It's free fo me cause whitey pay da fee"	0
#California is full of white trash	1
Someone tell this bitch to stfu	0
A miserable bitch is on the docket today. Lois 'Misery' Lerner better get grilled. The ordered harassment was undeniable. #breakherdown #war	0
"Cancer is a hoe y'all pray for the people who have it. http://t.co/4XgEQMrZq5"""	0
I done dun all kind of shit y'all niccas just fills shit!	0
That's how you let the beat build bitch.	0
@jaimescudi_ fucking bitch	0
I love fat bitches	0
@JStac825 @ThatAngryNigga these niggas must be deaf. When's the last time you heard a Roots song on the radio? Quest don't get bitches!	0
@SteveWorks4You @tedcruz ted cruz..leader..lol lol lol lol lol OMG lol lol lol lol lol you are a funny ass redneck...lol lol lol lol #lol	0
RT @TheRainbowGirlz: I'm not saying she's a slut, but her favorite shade of lipstick is pussy.	0
RT @whiskeyqueeen: niggas ain't shit but hoes with dicks	0
I love me some chunky babies &#128525;&#128525;	0
RT @44BINKO: @BreadTruckkBri &#128514;&#128514;&#128514; knwin I heard dat hoe changed	0
Early bird catches the worm &#128074;	0
Some people are bitch ass niggas &amp; you should just stay far away from	0
&#8220;@NigggaPino: Splash onna bitch Wednesday tomorrow&#8221;	0
LmaooooRT @BakeGriffin Remember when y'all bitches were Lotus Flower Bombs around this time last year	0
RT @TeeeeRenee: bitches b tweeting everything they see to b Relavent &#128514;&#128514;&#128514; its really sad &#128563;	0
Photo: Bad bitch. #ladykimora your favorite Vegas socialite &#127932;&#127932;&#127932;&#127932;&#127932;&#127932;&#127932;&#127932; #dragrace #dragqueen #ladykimora http://t.co/hdd8TbmyAj	0
The John Cantlie video issued by Al Furqan media is a new level of the Jihadi propaganda: promises more episodes &amp; wages ideological warfare	0
"RT @iamyaokhari: ""@Tyga: That ain't my hoe.""

This is the same man that wants to be ""Godly""...."	0
RT @CounterMoonbat: Btw, Hillary is a huge supporter of the law they now admit to lying to all you stupid rubes about. She needs to be aske&#8230;	0
Fuck these hoes im gone &#9996;&#65039;	0
RT @DJZeeti: Marriage not for everyone.. Some bitches just want u to sleepover sometimes	0
New bitch already and it's the second episode .	0
Im from the 210 you already know bout to bust a flow on this bitch hoe names miguel is chillin with my nigga tono	0
RT @NYTMinusContext: kill whitey	1
RT @LinnyKravtiz: The Mona Lisa could've been a bad bitch http://t.co/dj3oDVDAP0	0
#porn,#android,#iphone,#ipad,#sex,#xxx, | #Babe | ebony babe pussy http://t.co/3MxBXeZqxR	0
I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth.	1
what to do when your ear hurts like a bitch?	0
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;"	0
I fuckin hate this bitches voice OMG	0
RT @PhuckedFame: Thick red bones in style or nah? &#127817; http://t.co/Cfhis3L8bT	0
RT @ShitPussiesSay: Lets butt chug Mikes Hard Lemonade	0
@MichaelFraughto haha faggot	0
RT @ywr_speedy: nah these bitches up harbor city ;	0
RT @Carlcjsmith: Don't tell a girl you'll never eat pussy, cus you just lost. That means all you do is have sex, and you boring.	0
RT @Jaydillz: RT if you a hoe	0
guess I will mess with it later! not sure what else to do! maybe trash it! lol!!! not yet maybe after I when the lottery!	0
&#8220;@2Blunts1Jorge: Lol bitch funny, i was over you from the min i tossed your ass to the curb&#128567;&#8221; &#128588;&#128557;	0
@JawShoeeAhhh @greyyygoose @jehnayy you're gay bitch	0
"@lloyd7121 @jjauthor @petermickley 
Approximately 1/2 in one crash. There wasn't supposed to be that many members of a seal team on one bird"	0
her pussy like me, her heart like fuck it.	0
Omgggggggggg Mila Kunis is so fing hot. F Sarah Marshall. She's like a bird anorexic.	0
ahaha pussy is king	0
"&amp; thots are wearing Uggs RT @BigBootyJudy814: #ItsFallBecause negros are pulling out their Timbs"""	0
Trust no player, fear no bitch.	0
wouldn't be such a bitch if people didn't piss me off 24/7	0
RT @RachieSoul: These hoes ain't loyal	0
2 adult human skulls found in trash http://t.co/VcsNP9ejV9	0
@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger	1
Roseanne really bums me out. The show, and the woman. On that note, it's time to chug some ZzzQuil.	0
@WolfgangAbedeus Your bitch called, she was missing this dick	0
RT @MrPOONsoaker: Foh RT @Thotcho: @MrPOONsoaker lmao 6&#8242;0 but I&#8217;m hella skinny so bitches don&#8217;t like me	0
@Leelucas_ &#128514;&#128514;&#128514;&#128128;&#128128; alright nah bitch you want play on Twitter.	0
@c00ntact @KevinI bumcia is trash smfh I would've thought he would have gone after Khan but what you said makes sense	0
I'm pretty sure I've never sat in the friend zone waiting for pussy. You gotta put your dick on the table and see what happens	0
@_WORDtotheWISE how many times did you listen to that pussy song today?	0
@youngchug nah Bama fans ain't finna have a nigger running the offense.	0
LMAO what a comeback. &#8220;@somethinzfuckee: @0beyYourMaster @traybonmartin says the twat with the sides of her head shaved like a damn asshole.	0
@myfriendbriana Jesus walks bitch	0
RT @DaraUnn: @joshuataddac I haven't slapped a bitch in two weeks	0
RT @DrugsForSteph: wifey material doesn't come often.. so you better recognize when you have yourself a rider before you end up with a hoe	0
It ain't nunn to cut that bitch off&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;	0
"Actual quote from local cop - ""there are too many pussies in this town""."	0
RT @LilReese300: Ion feel dese nihhas or bitches...#300	0
Ravioli stuffed wit lobster nd a nice stuffed clam #eating betterthanamobster http://t.co/PzdoESaR	0
It's ok to tell a nigga he trash and a feature will never happen fam.	0
@lanaaabanana lady Bligh is my bitch!! I got 10 natty daddy's in my fridge #turnup	0
Dat da bad thing bout being colored. Day bring me in to fight but don't vite me to da victory partay	0
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"	0
@RihannaHasAids I had free tickets and couldn't go because I had chemistry ain't that a bitch	0
That boy has always been a pussy never been a threat!	0
RT @JafricanFlow: This is so stupid &#128514; RT @WestSideFlee: How you gone wife a bitch that let niggas lick on her head in public?	0
hope this bitch is prepared for the aftermath of what she did	0
RT @Tiny2YouHoes: but naawww though, y'all hoes is fu don't fucking play w/me.	0
RT @Ovoxo_alamillo: When hoes talk shit about other hoes... I'll just leave this here.	0
If you know a guy has a newborn baby why the fuck are you trying to talk to him? Desperate ass hoe	0
RT @savannacurry_: yelling my feelings about self centered not to think for themselves bitches is gr8	0
RT @murdcr: @sorryimalex @dollskill buy the girl stuff you twink ass bitch	0
Bullets stick to a nigguh damn liver	0
RT @shardae85yahoo: Jessica ass dont need no more liquior !!!! when the bitch drinks she forgets everything the very next day ! it never fa&#8230;	0
"RT @taymy_: I be so confused when y'all be tweeting ""I wanna bitch that can roll my weed &amp;smoke all night with"" like wtf kind of standards &#8230;"	0
I miss my fag friends	0
@briere_alex bout time bitch	0
RT @djevilone: stupid ignorant bitch &#8220;@SarahPalinUSA: Stopped by Chick-fil-A in The Woodlands to support a great business. http://t.co/6 ...	0
Someone told Iggy Azalea she stunk as a child cause this bitch still upset yo it ain't even that deep	0
RT @maycie32: @Whitecholo23 ya by being your bitch;)	0
"No. Its wrong to try to change #faggots&gt; There is no ""therapy"" so #tcot should understand and sympathize like they are #retards&gt;"	1
"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""	0
RT @Ilovebamf: #tbt with these bitches glad I met these fucks @Savage_530 @Brandonjw02 @JP_Gentleman #Friend&#128563; http://t.co/NHEeCJ7ukb	0
RT @Tip_It_In: #IfSheCantSuckTheDickRight slap it on her forehead.. The bitch needs a spankin.. discipline her ass &#128514;&#9995;	0
RT @asaplex: This bitch jus blew my high and I was off all of these drugssss	0
@NOTJOHNROSS try being respectful, instead of acting like a fucking retard.	0
@lilmenifee__ ohh bitch i gotta go fck with my girl my second lil family frfr	0
the birds out tonight	0
RT @Cougar745III: this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto &amp; Stereotypi&#8230;	1
"@Real_Liam_Payne be a pussy

as in cat"	0
Twitter is for fags.	1
Oh snap I'm just realizing this skinny tranny is Jared Leto. He's Wo unrecognizable with all that weight loss. Geez!!!	0
RT @efromthelost: @ObieOneHHH #doggpound never left hip hop fans just turned into hoes. Literally ratchet broads that pretend to like baske&#8230;	0
"RT @TitansHomer: Me: Do you sell any larger sized condoms?

Her: Sir those are 13 gallon trash bags!

Me: *winks until security escorts me &#8230;"	0
RT @KINGTUNCHI_: I make bitches fly like peter pand tho	0
RT @iamKatJohnson: @1inkkofrosess bitch get it how you live &#128514;&#128175;	0
RT @Brandee876: ghetto sour cream http://t.co/1meyQQ7B6G	0
Yall know Skip Bayless is about to slit his wrists over Romo! Lol	0
no youre a fucking retard thats gonna get fucking date raped at a frat tonight. have fun with those repressed memories	0
@bigksmoove them hoes look good	0
Don't Hillary's verbal responses and aggressive interactions suggest either brain damage or a need for meds? Or maybe she's just a bitch!	0
RT @buckupside: What kind of world do we live in, where bitches are getting surgery to make their butts BIGGER!? Since when do women want a&#8230;	0
My son is 9 and still has issues tying his shoes because he's barefoot all the time, in case you wanted to know my hillbilly status.	0
@Teets6 shit trash	0
@juicygenie can a quote this and tag a bitch	0
RT @1RudeAssNinja: @Yung_N_GettinIt @carleycarllz bro don't argue with these rejected ass Disney models bitches better go play in some food&#8230;	0
That bitch is corn fed	0
RT @Kap12284: Week from Thursday might be the last #Yankees game to look forward to in a while. If nothing else Jeter deserves that night &#8230;	0
RT @LOHANTHONY: i'd never send my kids to private school because then they would never experience ghetto public school fights	0
@TheSeanyV I think you should reconsider he's a little bitch to the one true God almighty Cthulhu...please for your soul, Seany.	0
Life be my bitch and that hoe move when I say so &#128175; http://t.co/ezO2QUqVhu	0
RT @CapitalT____: How you put ya hoes before ya girlfriend .. &#128564;	0
@Crackerboyy these hoes really out here	0
RT @Food_BibIe: Oreo Ice Cream Cake http://t.co/sW0A1HQhyy	0
@__baabyshaay okaaaaay bitch never do we care , edges still laid. &#128514;	0
Sometimes I feel like being really nice to everyone then I'm just like wait you're all bitches anyway soooo	0
@BarneyFranken @jennykutner @Salon salon is is chuck full of butthurt liberal retards	0
Im the man around this bitch baby check out my wrist watch &#8986;&#128130;	0
@_CharlieA_37 @sean_landez07 y'all's are all little punk ass bitches doe	0
RT @Sydhinton922: If your boy breaks up with you and has a new girlfriend a couple days later, then there was something you didn't know abo&#8230;	0
I had froyo with brownies for dinner tonight. Being an adult is making these executive decisions	0
Yall hoes still play around with the wrong shit I see.. Smh.	0
"RT @iam_KandiRaven ""Fuck ur WCW...let me see wat ur current bitch look like."" + Oowe..."	0
"RT @wisdom_spewed: No, you stupid redneck, ""Animal Husbandry"" does NOT mean you can get hitched to your blue tick hound, Misty."	1
"RT @_LindseyLove: ""Let me tell y'all bitches something right quick"" http://t.co/2jcQl8pFLc"	0
Lord please get me out of this ghetto ass hospital &#128514;&#128514;	0
Chances make champions nicca ain't nothing stopping you!	0
Enjoy 50% off @GreenFestival #DC tickets with our code and check us out at booth #640! Vegan brownies samples &amp; more! http://t.co/scDZnDk2Aq	0
Ms St aint no hoe. They fuckin Auburn up	0
Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;	0
&#8220;@Queendev_: @what_evaittakes I couldn't find anything to hold my hair up let alone put a pony in&#8221;no bitch I said post a busted pic&#128557;	0
"RT @fletchworld73: Pulled a dead bird from my garden. 

Grateful to be out of the hot sun, it winked at me with its rotting eye socket."	0
this shit so trash lol	0
Not going to put up a red equals sign on my Facebook because I'm not a faggot, but I'm all for marriage equality #prop8	0
@AustinthaIntern Johnny football is trash man. Trash. Lol.	0
RT @BriannDominguez: Don't unfollow I got the app bitch	0
Don't put too much effort into these bitches if you ain't gettin none back. Give them exactly what they give you	0
RT @Kittykins_x: Tacos over hoes.	0
only like bitches ran for homecoming but like 20 running for prom	0
Late night phone convos with my hoomie that nigga a gook	1
@FuckTraVonn ahh I see, I'm still a rook about the knowledge of THE hoe. But I'm progressing.	0
@21Cvasquez little bitch your ass is getting tased when I get home	0
@ApevonTarskin fuck u ugly ass bitch	0
Twitter is like the friend I sometimes forget to visit, and then he calls and acts like a bitchy mcbitcherson with a side of bitch.	0
Nigga you a pussy, hope you got 9 lives.	0
Run it up first , these hoes come later&#9996;&#65039;	0
Classy rich family kids doing drugs and tryina be all ghetto and shit,while actual ghetto poor kids looking for education to get outta there	0
International police operation disrupts Shylock banking Trojan - Computerworld: The GuardianInternational poli... http://t.co/zIBNJMIILJ	0
Cause LSU trash RT @BreesInDaCut: Why they doin the College Playoff ranking shit so early?	0
Only the strong survive and you niggas is bitches	0
This nigglet &#10084;&#65039;	1
if a bitch don't like me, somethin' wrong wit da bitch	0
It wus yo fat ass that filled out the application to work there, not me bitch.....	0
"Posted a new song: """"guala"""" http://t.co/TbpOuto6zR http://t.co/y1RpItkIAf"	0
"RT @TheFakeESPN: Johnny Manziel&#8217;s bye-week stat line:

Bud Light Platinums: 23 | Shots of Patron: 8 | Side bitches: 5 | Fucks given: 0"	0
&#8220;@l3ahpar: I could write a book on the things hoes say.&#8221;no way Jose	0
RT @Skraw_Berry: Oh I would've stood up!!! Fall back hoe	0
First jig of the night	0
Gonna shower for the sole purpose of shampooing my beard.	0
I love when my mom goes to the grocery store until she gets home and I have to carry it all in. Then it sucks monkey nuts	0
... but bitches catch feelings after, all the damn time.	0
@TweetsAndFreaks I told u ugly niggas get bitches young I promise u!! Work ya magic lol	0
RT @GabrielaAngela4: @JacklynAnnn @TheOneMiss_Luu bitches lover the word quality because they quality Bitches.	0
"Wayne went ape shit on tht ""Krazy"""	0
U fucken bitch wifi	0
"@Taste_My_Lips57 she like ""imma stop talking to you because you vibing in them headphones"".Talk to me and come get this pussy in other words"	0
I always listen to ghetto ass rap when I get ready for football games.	0
"""@XoXo__Angiee: Bruno fag boy"" you love me."	0
These bitches want the next best thing	0
Hazel e looks like a bird... Her and kaep prolly related by nose and shit	0
&#8220;@RudeBoi_Drew: I'm finna eat some pussy&#8221; lmao	0
"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta"""	1
RT @BloodBloodBIood: Valentines day is just an extra Christmas for bitches blood	0
WATCH: Excited ISIS Jihadis Getting Their Yezidi Sex Slaves On 'Distribution Day' http://t.co/n9ExnuVhKs #tcot #lnyhbt #pjnet #tgdn #gop	0
@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;	0
RT @BigDaddyTise: &#8220;@Mr_popular: Bald headed bitches mad at me because they look like this. don't blame me blame your parents. #BMB http://t&#8230;	0
@Viri_BraceFacee my niggah my niggah lol &#128074;	0
RT @Cosabandonada: Parque de atracciones abandonado en Jap&#243;n. http://t.co/dn0JIid4f4	0
RT @OhArias: I make the pussy cringe http://t.co/LNB2UXXQem	0
RT @ajbk4life1: how do people not realize the jig ?	0
"RT @dan_danovskis: The theory of ""you say no to ratchet pussy, juicy j can't"" has been proven"	0
I think you've made it clear that these hoes ain't loyal	0
I uploaded a @YouTube video http://t.co/JHUuZpgr UPDATE ON UGANDA ANTI-GAY BILL: Freemasonry, Anglo-American Influence, and	0
RT @StevStiffler: What doesn't kill you makes you a bitch.	0
@D_Palomino52 @TheOneMiss_Luu you my niggah though Daniel! Lol	0
My cousin just said these hoes ain't shit. Idk why they want me. I ain't shit either. Got me dying over here lol	0
&#8220;@_BeautifulKeezy: the boy told Lyssa make them $50 &#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#128514;&#128128; yes bitch and I need em	0
RT @omfgmeezy: she stole my shit, what a little niglet.	0
"@salomanizor I'm a faggot :/

http://t.co/Gr627ldfaa"	1
This white bitch had the fuckin nerve to call me a nigga&#128078; when shes the one payin for her lips to get bigga&#128514;&#128564;	1
Breaking News: ur a little bitch	0
Got good pussy. But ion eat her tho.	0
RT @DRUDGE_REPORT: Shy bladder group protests Rob Lowe DIRECTV ad... http://t.co/d5YxglIoKL	0
My sister said my step mom is a cunt. &lt;3 i love my Sister (:	0
@GirlThatsVonte i wont ima come piss in yours bitch	0
coon RT @HumbleTeej: &lt;fills coffee up halfway&gt; &lt;uses 11 Irish cremes to fill other half&gt;	0
"""Yup. Fuck em @Aloha_Hoesss: Playing like trash RT @80sbaby4life Clippers don't wanna play lol"""	0
@dgardner @YoniFreedhoff Sounds like the hysteria over bird flu a few years back. It had a lower mortality rate than the regular flu.	0
&#8220;@ChrizzyFive: Trying to run game on me u dumb bitch !!&#8221; @ her tho	0
These hoes swear their faithful	0
RT @CauseWereGuys: If you're not a little bitch http://t.co/92fliCL627	0
@kayhay14 bitch back up I'm taken	0
RT @Poochda63: They're YOUNG LADIES RT @BodiedXO: @Poochda63 you got hoes	0
",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga"	1
I don't feel like all black people are niggers but if you're black and you're being a nigger, imma tell you, idc	0
RT @MrPerfect_22: Most of these niggas go broke for these hoes !!	0
Let the niccas feel on her booty.. lmaoRT @55OptimusPrime: take her to the hood were they do most good	0
"""@A7XDemery: I'm a fucking fag they said"""	0
RT @Based_Unicorns: Humpday hoe.	0
Tweakin hoe	0
I'm beginning to thincc my brother is defiantly into fat Mexican bitches....? Eugh &#128534;	0
I'll keep all comments to myself about tho.... I'll just laugh about it with my nigs	0
all my exes are bitches	0
&#8220;@rihanna: We raided Nicki's wig closet for the summer! Bad gals just wanna have fun! http://t.co/0paNscImEw&#8221; this bitch has the a nerve smh	0
RT @DearLeader10: You value yourself because someone gave you a title. I value myself because bitch I'm clutch. I win.	0
Bad bitches is the only thing that I like	0
